FECHA,ROL,VICTIMA,SEXO,EDAD_VICTIMA
2018-07-07,CONDUCTOR,MOTO,MASCULINO,33
2018-07-10,CONDUCTOR,MOTO,MASCULINO,SD
2018-07-11,CONDUCTOR,MOTO,MASCULINO,27
2018-07-11,PEATON,PEATON,FEMENINO,67
2018-07-14,CONDUCTOR,AUTO,MASCULINO,25
2018-07-15,PEATON,PEATON,MASCULINO,23
2018-07-16,CONDUCTOR,AUTO,MASCULINO,73
2018-07-16,CONDUCTOR,AUTO,MASCULINO,58
2018-07-21,PEATON,PEATON,MASCULINO,27
2018-07-23,PEATON,PEATON,MASCULINO,SD
2018-07-25,PEATON,PEATON,MASCULINO,26
2018-07-29,PEATON,PEATON,MASCULINO,35
2018-08-01,CONDUCTOR,MOTO,FEMENINO,17
2018-08-02,CONDUCTOR,MOTO,MASCULINO,SD
2018-08-03,PEATON,PEATON,MASCULINO,45
2018-08-03,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22
2018-08-03,CONDUCTOR,MOTO,MASCULINO,30
2018-08-10,PEATON,PEATON,MASCULINO,40
2018-08-15,PEATON,PEATON,MASCULINO,75
2018-08-17,CONDUCTOR,MOTO,MASCULINO,SD
2018-08-17,PEATON,PEATON,MASCULINO,80
2018-08-18,CONDUCTOR,MOTO,MASCULINO,27
2018-08-19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23
2018-08-20,CONDUCTOR,MOTO,MASCULINO,23
2018-08-20,PEATON,PEATON,MASCULINO,24
2018-08-23,CONDUCTOR,MOTO,MASCULINO,32
2018-08-26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,49
2018-08-31,PEATON,PEATON,MASCULINO,39
2018-09-02,CONDUCTOR,AUTO,FEMENINO,35
2018-09-09,CONDUCTOR,AUTO,MASCULINO,55
2018-09-09,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,54
2018-09-12,PEATON,PEATON,MASCULINO,18
2018-09-20,SD,MOTO,FEMENINO,33
2018-09-21,CONDUCTOR,AUTO,MASCULINO,SD
2018-09-21,CONDUCTOR,MOTO,MASCULINO,20
2018-09-27,PEATON,PEATON,MASCULINO,1
2018-10-01,CONDUCTOR,MOTO,MASCULINO,22
2018-10-03,PEATON,PEATON,FEMENINO,56
2018-10-04,CONDUCTOR,MOTO,MASCULINO,27
2018-10-06,PEATON,PEATON,FEMENINO,62
2018-10-09,CONDUCTOR,MOTO,MASCULINO,37
2018-10-10,PEATON,PEATON,MASCULINO,34
2018-10-13,PEATON,PEATON,MASCULINO,60
2018-10-19,CONDUCTOR,MOTO,MASCULINO,28
2018-10-24,CONDUCTOR,MOTO,FEMENINO,28
2018-10-25,CONDUCTOR,MOTO,MASCULINO,20
2018-10-30,CONDUCTOR,MOTO,MASCULINO,23
2018-10-31,PEATON,PEATON,MASCULINO,42
2018-11-01,PEATON,PEATON,MASCULINO,48
2018-11-04,CONDUCTOR,MOTO,MASCULINO,30
2018-11-05,PEATON,PEATON,FEMENINO,80
2018-11-05,PEATON,PEATON,FEMENINO,32
2018-11-09,PEATON,PEATON,FEMENINO,51
2018-11-09,PEATON,PEATON,FEMENINO,72
2018-11-12,CONDUCTOR,AUTO,MASCULINO,33
2018-11-12,CONDUCTOR,AUTO,MASCULINO,25
2018-11-15,CONDUCTOR,CARGAS,MASCULINO,44
2018-11-16,PEATON,PEATON,MASCULINO,29
2018-11-18,CONDUCTOR,MOTO,MASCULINO,27
2018-11-19,CONDUCTOR,MOTO,MASCULINO,29
2018-11-25,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,49
2018-11-25,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,39
2018-11-28,CONDUCTOR,MOTO,MASCULINO,37
2018-12-03,CONDUCTOR,MOTO,MASCULINO,SD
2018-12-07,CONDUCTOR,MOTO,MASCULINO,29
2018-12-12,PEATON,PEATON,MASCULINO,70
2018-12-12,PEATON,PEATON,FEMENINO,60
2018-12-12,PEATON,PEATON,MASCULINO,56
2018-12-18,PEATON,PEATON,MASCULINO,80
2018-12-18,PEATON,PEATON,FEMENINO,70
2018-12-18,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
2018-12-21,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,79
2018-12-22,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,28
2018-12-22,CONDUCTOR,AUTO,MASCULINO,78
2018-12-22,PEATON,PEATON,MASCULINO,75
2018-12-25,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,32
2018-12-29,CONDUCTOR,MOTO,MASCULINO,22
2019-01-08,CONDUCTOR,MOTO,MASCULINO,25
2019-01-09,CONDUCTOR,AUTO,MASCULINO,32
2019-01-12,CONDUCTOR,MOTO,MASCULINO,23
2019-01-14,CONDUCTOR,AUTO,MASCULINO,71
2019-01-19,CONDUCTOR,MOTO,MASCULINO,43
2019-01-23,PEATON,PEATON,FEMENINO,12
2019-01-26,CONDUCTOR,MOTO,MASCULINO,35
2019-01-30,CONDUCTOR,MOTO,MASCULINO,42
2019-01-31,CONDUCTOR,MOTO,MASCULINO,34
2019-02-02,PEATON,PEATON,MASCULINO,SD
2019-02-02,PEATON,PEATON,MASCULINO,59
2019-02-10,PEATON,PEATON,MASCULINO,SD
2019-02-17,CONDUCTOR,MOTO,MASCULINO,31
2019-02-20,PEATON,PEATON,MASCULINO,39
2019-02-20,CONDUCTOR,MOTO,MASCULINO,69
2019-02-23,CONDUCTOR,AUTO,MASCULINO,21
2019-02-24,CONDUCTOR,MOTO,MASCULINO,40
2019-03-03,CONDUCTOR,AUTO,MASCULINO,22
2019-03-03,PEATON,PEATON,FEMENINO,29
2019-03-06,CONDUCTOR,MOTO,MASCULINO,SD
2019-03-07,CONDUCTOR,MOTO,MASCULINO,43
2019-03-15,CONDUCTOR,MOTO,MASCULINO,23
2019-03-15,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,SD
2019-03-16,CONDUCTOR,AUTO,MASCULINO,34
2019-03-19,CONDUCTOR,MOTO,MASCULINO,32
2019-03-22,PEATON,PEATON,MASCULINO,27
2019-03-28,PEATON,PEATON,MASCULINO,SD
2019-03-28,CICLISTA,BICICLETA,MASCULINO,37
2019-04-06,PEATON,PEATON,FEMENINO,SD
2019-04-07,CONDUCTOR,MOTO,MASCULINO,27
2019-04-09,CONDUCTOR,MOTO,MASCULINO,25
2019-04-12,CICLISTA,BICICLETA,MASCULINO,20
2019-04-16,PEATON,PEATON,FEMENINO,83
2019-04-18,CONDUCTOR,MOTO,MASCULINO,25
2019-04-21,CONDUCTOR,MOTO,MASCULINO,SD
2019-04-23,PEATON,PEATON,FEMENINO,75
2019-04-26,CONDUCTOR,MOTO,MASCULINO,34
2019-05-01,CONDUCTOR,MOTO,MASCULINO,17
2019-05-04,PEATON,PEATON,FEMENINO,42
2019-05-05,PEATON,PEATON,FEMENINO,82
2019-05-09,CONDUCTOR,MOTO,MASCULINO,28
2019-05-09,CONDUCTOR,MOTO,MASCULINO,44
2019-05-11,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,78
2019-05-14,PEATON,PEATON,MASCULINO,39
2019-05-21,CICLISTA,BICICLETA,FEMENINO,SD
2019-05-27,PEATON,PEATON,FEMENINO,77
2019-06-03,CONDUCTOR,MOTO,MASCULINO,33
2019-06-04,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26
2019-06-06,PEATON,PEATON,MASCULINO,76
2019-06-07,CONDUCTOR,MOTO,MASCULINO,32
2019-06-08,PEATON,PEATON,FEMENINO,72
2019-06-08,CONDUCTOR,MOTO,MASCULINO,21
2019-06-11,CONDUCTOR,MOTO,MASCULINO,41
2019-06-14,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,49
2019-06-20,CONDUCTOR,MOTO,MASCULINO,21
2019-06-20,CONDUCTOR,MOTO,MASCULINO,47
2019-06-29,PEATON,PEATON,FEMENINO,75
2019-07-05,PEATON,PEATON,FEMENINO,63
2019-07-10,CONDUCTOR,MOTO,MASCULINO,39
2019-07-13,CONDUCTOR,MOTO,MASCULINO,30
2019-07-17,PEATON,PEATON,FEMENINO,78
2019-07-17,PEATON,PEATON,FEMENINO,58
2019-08-01,PEATON,PEATON,FEMENINO,60
2019-08-04,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD
2019-08-06,CONDUCTOR,MOTO,MASCULINO,20
2019-08-08,PEATON,PEATON,FEMENINO,55
2019-08-11,PEATON,PEATON,MASCULINO,40
2019-08-14,CONDUCTOR,MOTO,MASCULINO,35
2019-08-14,CONDUCTOR,MOTO,MASCULINO,53
2019-08-17,CONDUCTOR,MOTO,MASCULINO,43
2019-08-22,CONDUCTOR,MOTO,MASCULINO,25
2019-08-27,PEATON,PEATON,MASCULINO,SD
2019-08-28,CONDUCTOR,AUTO,MASCULINO,22
2019-08-29,CONDUCTOR,AUTO,MASCULINO,29
2019-08-29,CONDUCTOR,MOTO,MASCULINO,35
2019-08-30,CONDUCTOR,MOTO,MASCULINO,31
2019-09-05,CONDUCTOR,MOTO,FEMENINO,29
2019-09-08,PEATON,PEATON,FEMENINO,28
2019-09-12,PEATON,PEATON,FEMENINO,72
2019-09-17,CONDUCTOR,MOTO,MASCULINO,57
2019-09-17,PEATON,PEATON,MASCULINO,76
2019-09-23,PEATON,PEATON,MASCULINO,67
2019-09-25,CICLISTA,BICICLETA,MASCULINO,47
2019-09-26,CONDUCTOR,AUTO,MASCULINO,73
2019-09-27,CICLISTA,BICICLETA,FEMENINO,40
2019-10-09,CICLISTA,BICICLETA,MASCULINO,20
2019-10-15,CONDUCTOR,MOTO,MASCULINO,29
2019-10-21,CONDUCTOR,MOTO,MASCULINO,41
2019-10-22,PEATON,PEATON,MASCULINO,27
2019-10-23,PEATON,PEATON,FEMENINO,92
2019-10-24,PEATON,PEATON,MASCULINO,67
2019-11-01,PEATON,PEATON,MASCULINO,35
2019-11-03,PEATON,PEATON,MASCULINO,37
2019-11-13,CICLISTA,BICICLETA,MASCULINO,16
2019-11-18,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,SD
2019-11-20,CONDUCTOR,MOTO,MASCULINO,SD
2019-11-22,PEATON,PEATON,MASCULINO,73
2019-11-25,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23
2019-11-25,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,61
2019-12-05,CONDUCTOR,MOTO,MASCULINO,38
2019-12-17,CONDUCTOR,MOTO,MASCULINO,25
2019-12-17,CONDUCTOR,MOTO,MASCULINO,18
2019-12-18,CONDUCTOR,MOTO,MASCULINO,24
2019-12-21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23
2020-01-04,PEATON,PEATON,FEMENINO,87
2020-01-05,CONDUCTOR,MOTO,MASCULINO,36
2020-01-11,PEATON,PEATON,MASCULINO,44
2020-01-14,PEATON,PEATON,MASCULINO,82
2020-01-14,CONDUCTOR,MOTO,MASCULINO,25
2020-01-20,CONDUCTOR,MOTO,MASCULINO,23
2020-01-27,PEATON,PEATON,MASCULINO,52
2020-01-30,CONDUCTOR,MOTO,MASCULINO,49
2020-02-04,PEATON,PEATON,MASCULINO,48
2020-02-08,CONDUCTOR,MOTO,MASCULINO,SD
2020-02-12,CONDUCTOR,MOTO,MASCULINO,31
2020-02-18,PEATON,PEATON,FEMENINO,66
2020-02-20,PEATON,PEATON,FEMENINO,58
2020-02-27,CONDUCTOR,MOTO,MASCULINO,SD
2020-02-28,CONDUCTOR,MOTO,MASCULINO,29
2020-02-29,PEATON,PEATON,MASCULINO,68
2020-03-05,PEATON,PEATON,MASCULINO,SD
2020-03-09,CONDUCTOR,MOTO,MASCULINO,31
2020-03-10,PEATON,PEATON,FEMENINO,80
2020-03-13,PEATON,PEATON,FEMENINO,74
2020-03-14,PEATON,PEATON,FEMENINO,87
2020-04-07,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,44
2020-04-09,CONDUCTOR,AUTO,MASCULINO,44
2020-04-24,CONDUCTOR,AUTO,MASCULINO,53
2020-05-12,PEATON,PEATON,MASCULINO,SD
2020-05-17,CONDUCTOR,MOTO,MASCULINO,28
2020-05-18,PEATON,PEATON,MASCULINO,76
2020-05-19,PEATON,PEATON,MASCULINO,91
2020-06-10,PEATON,PEATON,MASCULINO,80
2020-06-16,CONDUCTOR,MOTO,MASCULINO,40
2020-06-30,CONDUCTOR,MOTO,MASCULINO,29
2020-07-10,CONDUCTOR,MOTO,MASCULINO,21
2020-07-19,CONDUCTOR,AUTO,MASCULINO,32
2020-08-02,PEATON,PEATON,FEMENINO,SD
2020-08-04,CONDUCTOR,MOTO,MASCULINO,40
2020-08-07,PEATON,PEATON,MASCULINO,72
2020-08-29,PEATON,PEATON,MASCULINO,38
2020-08-30,CONDUCTOR,AUTO,MASCULINO,46
2020-08-30,CONDUCTOR,AUTO,MASCULINO,64
2020-09-01,PEATON,PEATON,MASCULINO,44
2020-09-12,CONDUCTOR,AUTO,MASCULINO,SD
2020-09-28,CONDUCTOR,MOTO,MASCULINO,34
2020-09-29,PEATON,PEATON,FEMENINO,53
2020-09-30,PEATON,PEATON,MASCULINO,64
2020-10-05,CONDUCTOR,AUTO,MASCULINO,43
2020-10-19,CONDUCTOR,AUTO,MASCULINO,50
2020-10-27,CONDUCTOR,MOTO,MASCULINO,41
2020-10-27,PEATON,PEATON,MASCULINO,15
2020-10-29,CONDUCTOR,MOTO,MASCULINO,41
2020-10-30,PEATON,PEATON,MASCULINO,36
2020-11-01,PEATON,PEATON,FEMENINO,28
2020-11-05,CONDUCTOR,MOTO,MASCULINO,49
2020-11-07,CICLISTA,BICICLETA,MASCULINO,44
2020-11-09,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,27
2020-11-19,CICLISTA,BICICLETA,MASCULINO,59
2020-11-19,PEATON,PEATON,MASCULINO,91
2020-11-21,CONDUCTOR,MOTO,FEMENINO,34
2020-11-23,PEATON,PEATON,MASCULINO,84
2020-11-24,PEATON,PEATON,MASCULINO,57
2020-12-01,PEATON,PEATON,FEMENINO,49
2020-12-03,PEATON,PEATON,FEMENINO,69
2020-12-03,CONDUCTOR,MOTO,MASCULINO,45
2020-12-04,CICLISTA,BICICLETA,MASCULINO,47
2020-12-05,PEATON,PEATON,MASCULINO,38
2020-12-05,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21
2020-12-05,CONDUCTOR,MOTO,MASCULINO,24
2020-12-07,CONDUCTOR,MOTO,MASCULINO,27
2020-12-11,PEATON,PEATON,MASCULINO,51
2020-12-12,CONDUCTOR,MOTO,MASCULINO,71
2020-12-15,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,25
2020-12-17,PEATON,PEATON,FEMENINO,81
2020-12-17,PEATON,PEATON,MASCULINO,4
2020-12-19,CICLISTA,BICICLETA,MASCULINO,42
2020-12-20,CONDUCTOR,MOTO,MASCULINO,56
2020-12-20,CONDUCTOR,AUTO,MASCULINO,39
2020-12-23,PEATON,PEATON,MASCULINO,23
2020-12-24,CONDUCTOR,AUTO,FEMENINO,78
2020-12-25,CONDUCTOR,MOTO,FEMENINO,30
2020-12-25,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,24
2020-12-25,CICLISTA,BICICLETA,MASCULINO,26
2020-12-27,CONDUCTOR,MOTO,MASCULINO,28
2021-01-06,CONDUCTOR,MOTO,MASCULINO,36
2021-01-07,CONDUCTOR,MOTO,FEMENINO,47
2021-01-10,CONDUCTOR,MOTO,MASCULINO,27
2021-01-11,PEATON,PEATON,FEMENINO,61
2021-01-11,PEATON,PEATON,MASCULINO,73
2021-01-12,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,23
2021-01-18,CONDUCTOR,MOTO,MASCULINO,84
2021-01-22,PEATON,PEATON,MASCULINO,28
2021-01-23,CONDUCTOR,MOTO,MASCULINO,31
2021-01-23,CONDUCTOR,MOTO,MASCULINO,28
2021-01-27,PEATON,PEATON,MASCULINO,21
2021-01-29,PEATON,PEATON,MASCULINO,SD
2021-01-31,CONDUCTOR,MOTO,MASCULINO,41
2021-02-02,PEATON,PEATON,MASCULINO,28
2021-02-06,CONDUCTOR,MOTO,MASCULINO,26
2021-02-14,CONDUCTOR,AUTO,MASCULINO,22
2021-02-17,CONDUCTOR,MOTO,MASCULINO,33
2021-02-20,PEATON,PEATON,MASCULINO,36
2021-02-21,CONDUCTOR,MOTO,MASCULINO,30
2021-02-21,PEATON,PEATON,FEMENINO,SD
2021-02-26,CONDUCTOR,MOTO,MASCULINO,39
2021-02-28,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,68
2021-03-01,CONDUCTOR,MOTO,MASCULINO,24
2021-03-03,CICLISTA,BICICLETA,MASCULINO,5
2021-03-11,CONDUCTOR,MOTO,MASCULINO,37
2021-03-15,CONDUCTOR,MOTO,MASCULINO,36
2021-03-16,CONDUCTOR,MOTO,FEMENINO,19
2021-03-29,PEATON,PEATON,MASCULINO,SD
2021-03-31,CONDUCTOR,AUTO,MASCULINO,26
2021-04-03,PEATON,PEATON,MASCULINO,36
2021-04-07,PEATON,PEATON,FEMENINO,68
2021-04-10,PEATON,PEATON,MASCULINO,60
2021-04-14,CONDUCTOR,AUTO,MASCULINO,33
2021-04-19,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26
2021-05-03,CONDUCTOR,MOTO,MASCULINO,24
2021-05-09,CONDUCTOR,MOTO,MASCULINO,36
2021-05-11,PEATON,PEATON,FEMENINO,58
2021-05-14,CONDUCTOR,MOTO,FEMENINO,44
2021-05-15,CICLISTA,BICICLETA,MASCULINO,86
2021-05-20,CONDUCTOR,MOTO,MASCULINO,27
2021-05-20,PEATON,PEATON,MASCULINO,75
2021-05-21,PEATON,PEATON,MASCULINO,39
2021-05-22,PEATON,PEATON,MASCULINO,50
2021-05-25,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21
2021-05-26,CONDUCTOR,MOTO,MASCULINO,22
2021-05-31,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,20
2021-06-02,CONDUCTOR,MOTO,MASCULINO,59
2021-06-03,CICLISTA,BICICLETA,MASCULINO,44
2021-06-03,CONDUCTOR,AUTO,MASCULINO,74
2021-06-10,CONDUCTOR,MOTO,MASCULINO,56
2021-06-15,PEATON,PEATON,MASCULINO,73
2021-06-20,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
2021-06-20,PEATON,PEATON,MASCULINO,58
2021-06-22,CONDUCTOR,MOTO,MASCULINO,41
2021-06-29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,47
2021-07-09,CICLISTA,BICICLETA,MASCULINO,60
2021-07-10,CONDUCTOR,AUTO,MASCULINO,46
2021-07-21,PEATON,PEATON,MASCULINO,24
2021-07-22,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,44
2021-07-22,PEATON,PEATON,FEMENINO,80
2021-07-24,PEATON,PEATON,FEMENINO,55
2021-07-27,CONDUCTOR,AUTO,MASCULINO,73
2021-08-02,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,31
2021-08-02,PEATON,PEATON,MASCULINO,37
2021-08-06,PEATON,PEATON,FEMENINO,63
2021-08-06,PEATON,PEATON,MASCULINO,59
2021-08-08,CONDUCTOR,MOTO,MASCULINO,27
2021-08-15,CONDUCTOR,MOTO,MASCULINO,39
2021-08-20,PEATON,PEATON,MASCULINO,17
2021-08-28,CONDUCTOR,MOTO,MASCULINO,31
2021-08-31,PEATON,PEATON,MASCULINO,88
2021-09-01,PEATON,PEATON,FEMENINO,57
2021-09-18,CICLISTA,BICICLETA,FEMENINO,76
2021-09-20,CONDUCTOR,MOTO,MASCULINO,55
2021-09-21,PEATON,PEATON,MASCULINO,65
2021-10-16,CONDUCTOR,MOTO,MASCULINO,31
2021-10-18,CONDUCTOR,MOTO,FEMENINO,31
2021-10-23,CONDUCTOR,MOTO,MASCULINO,22
2021-10-25,PEATON,PEATON,MASCULINO,SD
2021-10-28,CONDUCTOR,MOTO,MASCULINO,32
2021-11-02,CONDUCTOR,MOTO,MASCULINO,26
2021-11-06,CONDUCTOR,MOTO,MASCULINO,38
2021-11-09,CONDUCTOR,MOTO,MASCULINO,30
2021-11-11,CONDUCTOR,AUTO,MASCULINO,32
2021-11-18,CICLISTA,BICICLETA,MASCULINO,53
2021-11-20,CONDUCTOR,MOTO,MASCULINO,49
2021-11-25,PEATON,PEATON,MASCULINO,75
2021-11-27,PEATON,PEATON,FEMENINO,73
2021-12-01,CONDUCTOR,MOTO,MASCULINO,45
2021-12-02,CONDUCTOR,MOTO,MASCULINO,41
2021-12-10,PEATON,PEATON,MASCULINO,73
2021-12-11,CONDUCTOR,MOTO,MASCULINO,24
2021-12-12,PEATON,PEATON,FEMENINO,50
2021-12-13,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,18
2021-12-20,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,43
2021-12-30,CONDUCTOR,MOTO,MASCULINO,27
2021-12-15,CONDUCTOR,AUTO,MASCULINO,60
